key,title,year,Test Activities,GenAI Model,Framework/Agent,Usage,Evaluation / Maturity,Limitations,Notes / References,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,PDF files
rayyan-394626699,An LLM-based software developer agent demonstrated through a port-logistic optimization case study,2025,Automatic unit test generation; indirect support for Software Requirements Specification (SRS) validation and code review.,"GPT-4o, Claude 3.7 Sonnet (proprietary LLMs).",Custom agent based on LangGraph (multi-step architecture with validation and competition between models).,"The agent generates code and, in the final stage, automatically generates unit tests for the selected implementations; tests are part of an agentic development pipeline.",Experimental prototype; evaluation via case studies (Snake game and logistic optimization framework) without formal test quality metrics. Far from real industrial use for autonomous testing.,Generated unit tests are dependent on the quality of the generated code; difficulties in complex contexts; lack of specific empirical evaluation regarding test quality/coverage; strong need for human intervention.,"""the agent … is capable of generating … function implementations, and corresponding unit tests""; tests appear as a byproduct of development, not as the main focus.",,,,,,,,"Dulai, Tibor and Kiss, Gábor",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018454710&doi=10.1109%2FACDSA65407.2025.11166656&partnerID=40&md5=07beea4a4eddd6e7f441df7515005770,,,,,Cited by: 0,10.1109/ACDSA65407.2025.11166656,Computer programming; Intelligent agents; Logistics; Ports and harbors; Software testing; Specifi...,,,An_LLMbased_software_developer_agent_demonstrated_through_a_portlogistic_optimization_case_study.pdf
rayyan-394626700,"Multi-Agent LLM Collaboration for Adaptive Code Review, Debugging, and Security Analysis",2025,Automated code review (quality). Defect detection (debugging). Security analysis (vulnerabilities). Continuous QA support.,"Pre-trained LLMs (e.g., GPT-4, CodeLlama – exact models may vary).",Custom multi-agent framework with three specialized agents + FAISS (RAG/long-term memory).,"Code is automatically analyzed by parallel agents (review, debugging, security), with collaborative refinement and adaptation based on the developer's history; applicable in CI/CD and IDEs.","Advanced experimental prototype; quantitative evaluation with controlled experiments (accuracy, latency, user adaptation).",Does not explicitly generate test cases; focus on static/semantic analysis; dependence on proprietary models; results based on code snippets rather than large industrial systems.,"“multi-agent LLM framework for adaptive code review, debugging, and security analysis”; demonstrates a reduction in redundant feedback and accuracy improvement over time.",,,,,,,541 - 546,"Sharanarthi, Tanush and Polineni, Sreenidhi",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017962329&doi=10.1109%2FMRAI65197.2025.11135756&partnerID=40&md5=c1c8dcd7efc5a31fdf3f2f8723e6caf1,,,,,Cited by: 0,10.1109/MRAI65197.2025.11135756,Codes (symbols); Computer programming languages; Computer software selection and evaluation; Dist...,,,MultiAgent_LLM_Collaboration_for_Adaptive_Code_Review_Debugging_and_Security_Analysis.pdf
rayyan-394626702,Enhancing LLM-based Quantum Code Generation with Multi-Agent Optimization and Quantum Error Correction,2025,Implicit Test-Driven Development (TDD). Syntactic and semantic validation. Use of test suites to evaluate generated code. Experimental tests under quantum noise; reliability evaluation via QEC (Quantum Error Correction).,StarCoder-3B (fine-tuned). GPT-4o used for CoT/SCoT (Chain of Thought/Structured Chain of Thought) prompt generation.,"Custom multi-agent framework (3 agents: Code Generator, Semantic Analyzer, QEC Decoder) with multi-pass inference, CoT, SCoT, RAG.",GenAI generates quantum code iteratively; a custom test suite is used to validate syntactic and semantic correctness. Results are evaluated using test metrics (pass@k) and experimental execution with and without error correction.,"Advanced academic prototype. Extensive quantitative evaluation (pass@k, % of valid tests, experiments under noise). Specific domain (quantum).",Does not explicitly generate test cases; focus on static/semantic analysis; dependence on proprietary models; results based on code snippets rather than large industrial systems.,Demonstrates a reduction in redundant feedback and accuracy improvement over time.,,,,,,,,"Campbell, Charlie and Chen, Mark and Luk, Wayne W.C. and Fan, Hongxiang",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017605997&doi=10.1109%2FDAC63849.2025.11133316&partnerID=40&md5=27976ae3a148261af6d3b69c8ea47b27,,,,,Cited by: 0,10.1109/DAC63849.2025.11133316,Automatic programming; Computer programming languages; Error correction; Intelligent agents; Iter...,,,Enhancing_LLMbased_Quantum_Code_Generation_with_MultiAgent_Optimization_and_Quantum_Error_Correction.pdf
rayyan-394626707,OpenROAD Agent: An Intelligent Self-Correcting Script Generator for OpenROAD,2025,"Automatic validation based on execution tests; failure detection (invalid scripts); indirect functional verification via design metrics (DRC, timing, area, power).",LLM (not explicitly named; proprietary model via API).,OpenROAD Agent – GenAI agent with a self-correcting loop integrated into the OpenROAD EDA flow.,"The agent generates Tcl scripts, executes the OpenROAD flow, uses execution failures and metrics as a test oracle, and automatically corrects the script until valid criteria are met.","Advanced academic prototype; empirical evaluation with multiple designs and quantitative metrics (success rate, number of iterations, QoR [Quality of Results]).",No explicit generation of test cases; tests are specific to the EDA domain; strong dependence on the OpenROAD environment; absence of longitudinal industrial evaluation.,Execution failures act as a testing mechanism.,,,,,,,16 - 22,"Wu, Bingyue and Sharma, Utsav and Rovinski, Austin and Chhabria, Vidya A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015871212&doi=10.1109%2FICLAD65226.2025.00039&partnerID=40&md5=163d4d6230f67a28f31669c32c0f1cfa,,,,,Cited by: 0,10.1109/ICLAD65226.2025.00039,Computational linguistics; Integrated circuit design; Open source software; Open systems; Personn...,,,OpenROAD_Agent_An_Intelligent_SelfCorrecting_Script_Generator_for_OpenROAD.pdf
rayyan-394626709,Toward Generative 6G Simulation: An Experimental Multi-Agent LLM and ns-3 Integration,2025,Automatic generation of test cases; automatic test execution; functional and performance validation; failure-based debugging; stress tests and edge cases; results analysis.,"LLMs via ChatOpenAI (e.g., GPT-4o / gpt-4o-mini); OpenAI embeddings.","Multi-agent framework based on LangChain + LangGraph, integrated with ns-3 (Simulation Generation Agent, Test Designer Agent, Test Executor Agent, Result Interpretation Agent).","Tests are automatically generated by the Test Designer Agent, executed by the Test Executor Agent; results (logs, metrics) are analyzed by the LLM and used to automatically update the simulation code in an iterative loop.","Advanced academic prototype, with detailed quantitative evaluation (pass@k, average iterations, response time, syntactic error rate, simulation performance metrics).",Specific domain (5G/6G network simulation); tests depend on ns-3 frameworks; absence of real industrial validation; need for specialized knowledge to interpret metrics.,“the Test Designer Agent generates comprehensive automated test suites”; complete generation–test–execution–interpretation pipeline.,,,,,,,,"Rezazadeh, Farhad and Gargari, Amir Ashtari and Lagen, Sandra and Song, Houbing and Niyato, Dusit (Tao) and Liu, Lingjia",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015738145&doi=10.1109%2FMeditCom64437.2025.11104374&partnerID=40&md5=d97a85dffc69ab925ee5e4de28c33ce6,,,,,Cited by: 0,10.1109/MeditCom64437.2025.11104374,Chains; Codes (symbols); Computational linguistics; Computer simulation languages; Computer syste...,,,Toward Generative 6G Simulation An Experimental Multi-Agent LLM and ns-3 Integration_oho.pdf
rayyan-394626714,AgentTester: An LLM-Based Tool for Unit Test Generation with Automatically Generated Prompts,2025,"Automatic test case generation consisting of AutoPrompting, Prompt Distillation, and Validation-Repair modules.","ChatGLM API, glm-4 model, gpt-3.5-turbo. The ChatTester model and the experimental setup of its original paper serve as a comparison baseline for AgentTester.",The ChatTester model and experimental configuration from your original article serve as a basis for comparison with AgentTester.,"AgentTester, which consists of three main modules: AutoPrompting, Prompt Distillation, and Validation-Repair. Automatic generation of unit test cases for Java projects using LLMs. Quality evaluation of generated tests in terms of: Syntactic correctness. Compilation rate. Correct test rate. Coverage (line, method, class, and branch). Applied to three real-world Java projects (jInstagram, TabulaPDF, Zappos).","Three representative Java projects, sourced from GitHub, serve as reference projects with over 15,000 lines of code and more than 1,000 main methods. These three projects have JUnit tests written by developers, which is beneficial for generating and compiling test cases without worrying about environment configuration. This is an experimental and academic approach, validated through comparative empirical studies. It shows a clear evolution compared to previous LLM-based approaches: it surpasses ChatTester and AthenaTest in correct test rate and line coverage. It introduces incremental improvements through specialized modules (PD and VR). Compared to traditional tools (EvoSuite), it shows: lower performance in branch coverage; superior performance in line coverage. It is not yet presented as a consolidated industrial tool (research prototype level). It is an academic prototype with controlled empirical validation.","Lower branch coverage compared to search-based test generation tools like EvoSuite. Compilation rate still not ideal: Even with improvements, approximately 27% of generated tests do not compile in total. Evaluation restricted to: Only three Java projects. Only Java language (generalization limitation). Dependence on multiple executions and sampling with different temperatures, increasing computational cost. No discussion on: Execution time. Financial costs of using LLMs. Continuous integration in industrial pipelines (CI/CD). Filtering tests that compile but fail to execute can reduce the diversity of test cases.","To thoroughly evaluate AgentTester's performance, we selected several widely recognized models as baselines, including traditional techniques (EvoSuite), machine learning-based techniques (AthenaTest), and LLM-based techniques (ChatTester). AgentTester shows up to a 22.5% gain in the correct test rate compared to ChatTester. The Prompt Distillation (PD) module is primarily responsible for the quality improvement: Significant increases in compilation and correction rates (up to +26.4% on jInstagram). The Validation-Repair (VR) module contributes approximately +20% improvement by correcting tests with errors. Demonstrates that LLMs, when combined with agents and automated validation, can outperform ""direct"" LLM approaches. Empirical evidence that hybrid strategies (LLM + programmatic validation) are more effective for automated testing.",,,Communications in Computer and Information Science,,2574,,114 - 126,"Chen, Honghui and Chen, Kaiqing and Zhang, Fanlong and Wang, Tao and Cheng, Lianglun",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013062510&doi=10.1007%2F978-981-95-0011-6_10&partnerID=40&md5=b7408785d11617d826eacb243fc81dd8,,,,,Cited by: 0,10.1007/978-981-95-0011-6_10,Automatic test pattern generation; Error correction; Software reliability; Software testing; Auto...,,,Advanced_Intelligent_Computing_Technology_and_Applications.pdf
rayyan-394626716,Comprehensive Study on Integrating AI-Powered Threat Intelligence Using Large Language Models,2025,Automated Penetration Testing (APT). Network Mapping (Host Discovery). Vulnerability Analysis.,Gemini 1.5 Pro. GPT-4 (evaluated as an alternative),Hierarchical AI Agent System (Multi-agent). LangChain JS. Docker/Kubernetes for tool orchestration.,"The system uses a Master Supervisor that coordinates three specialized agent teams: Pentesting, Cybersecurity Research, and Report Making. The ""autonomous update"" of network knowledge is done via a modified Bellman-Ford algorithm, which incrementally discovers paths, simulating real-time discovery, while agents trigger tools (Nmap, sqlmap) via API.","Academic / Experimental PoC (Proof of Concept). Tested in a laboratory using edge hardware (Raspberry Pi 5 Model B) to prove resource efficiency. Validated through successful scanning of real URLs (e.g., google.com) and log generation.","Context Window: Extensive scan results exceed the LLM limit, requiring chunking. Hallucination: Inaccurate or outdated security recommendations. Computational Cost: Requires optimization to run on limited hardware.","""The algorithm simulates real-time discovery processes by updating paths incrementally as new network information becomes available."" Highlights the Microservices + Agents architecture for scalability.",,,,,,,2141 - 2146,"Nishith, P. and Ratnam, S. Ajay and Bhaskaran, Sreebha",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012111569&doi=10.1109%2FICCSAI64074.2025.11063731&partnerID=40&md5=0ec7b8043470ba4929b72c5dbf36ce97,,,,,Cited by: 0,10.1109/ICCSAI64074.2025.11063731,Automation; Cybersecurity; Integration testing; Intelligent agents; Network security; Algorithmic...,,,Comprehensive_Study_on_Integrating_AIPowered_VuJ.pdf
rayyan-394626721,A Multi-Agent Approach for REST API Testing with Semantic Graphs and LLM-Driven Inputs,2025,REST API Testing (Black-box). Test Input Generation. Inference of Dependencies between Operations.,GPT-3.5 Turbo,"AutoRestTest (proprietary framework based on Multi-Agent Reinforcement Learning - MARL). Features 4 specialized agents: Operation, Dependency, Parameter, Value.","Hybrid approach where the LLM is triggered only by the Value Agent through few-shot prompting to generate values requiring semantic conformity (e.g., emails, specific IDs). The ""autonomous update"" of the testing strategy is done via Reinforcement Learning, updating Q-tables and weights in a dependency graph (SPDG) based on HTTP response codes (2xx, 4xx, 5xx).",High (Academic - ICSE 2025). Validated on 12 real REST services (including Spotify and OhSome). Outperformed 4 state-of-the-art tools (including RESTler and EvoMaster) in code coverage (+15-26%) and fault detection. Detected 42 internal server errors (status 500) against 33 from the second-best tool.,"Data Leakage: The model may have been trained with data from the tested public APIs, inflating results. Specification Quality: Effectiveness depends on the completeness of the provided OpenAPI specification. Network Latency: Tests on real APIs suffer from ""flaky"" behavior due to the network.","""AutoRestTest treats REST API testing as a separable problem [...] The LLM handles the generation of domain-specific values, while the SPDG model simplifies the search space."" The removal of the LLM component in the ablation study reduced coverage by ~10-12%.",,,Proceedings - International Conference on Software Engineering,,,,1409 - 1421,"Kim, Myeongsoo and Stennett, Tyler and Sinha, Saurabh and Orso, Alessandro",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010327327&doi=10.1109%2FICSE55347.2025.00179&partnerID=40&md5=4727c4956022848d4318383703af88cb,,,,,Cited by: 0,10.1109/ICSE55347.2025.00179,Application programming interfaces (API); Intelligent agents; Machine learning; Multi agent syste...,,,A_MultiAgent_Approach_for_REST_API_Testing_with_Semantic_Graphs_and_LLMDriven_Inputs.pdf
rayyan-394626722,NIODebugger: A Novel Approach to Repair Non-Idempotent-Outcome Tests with LLM-Based Agent,2025,Flaky Test Repair (specifically NIO - Non-Idempotent-Outcome type).,"GPT-4 (best performance), GPT-3.5, Qwen 2.5, DeepSeek-Coder.",NIODebugger (LLM-based Agent). Implemented as a Maven plugin for Java.,"Uses a three-phase system (detection, exploration, and correction). The AI agent autonomously plans and executes actions to extract relevant source code outside the test method, simulating a human programmer to resolve ""state pollution"".",High (ICSE 2025). Tested on 20 large-scale open-source projects. Generated correct patches for 101 out of 172 NIO tests. 58 patches were merged into real repositories.,Context Window: The ability to include relevant source code is limited by the LLM's window size. Dynamic Analysis Dependency: Requires multiple executions to identify failure patterns.,"First framework to use an autonomous agent to fix flaky tests. It is capable of autonomously ""cleaning"" the polluted state through instructions that the LLM itself generates to search for cleaning methods in the code.",,,Proceedings - International Conference on Software Engineering,,,,1014 - 1025,"Ke, Kaiyao",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010297534&doi=10.1109%2FICSE55347.2025.00226&partnerID=40&md5=9fae623678ae69408c15f101a9b493d6,,,,,Cited by: 1,10.1109/ICSE55347.2025.00226,Codes (symbols); Nickel oxide; Open source software; Open systems; Repair; Software agents; Conte...,,,NIODebugger_A_Novel_Approach_to_Repair_NonIdempotentOutcome_Tests_with_LLMBased_Agent.pdf
rayyan-394626726,Automated Bug Discovery in Cloud Infrastructure-as-Code Updates with LLM Agents,2025,Infrastructure-as-Code (IaC) Update Testing. Bug discovery in update operations (Update logic). Generation of Terraform programs.,GPT-4o,"IaC-BugFinder (Multi-agent system). Includes agents: Generator, Executor, and Analyzer.","Uses agents to generate initial IaC programs and then autonomously generate update sequences (changing parameters, relationships). The Analyzer compares the final cloud state with the desired state to detect discrepancies (bugs).","Academic PoC (AIOps 2025). Tested against the AWS Terraform provider. Discovered 4 critical bugs (3 in the AWS provider and 1 in the Terraform core), all confirmed by developers.",Token Cost: Long update sequences increase the cost. Test Oracles: Difficulty in distinguishing whether a failure is from the cloud provider or the testing tool.,"""IaC-BugFinder automates bug discovery in infrastructure updates... a domain where manual testing is impractical due to the vast state space."" [pages 1, 5].",,,,,,,20 - 25,"Xiang, Yiming and Yang, Zhenning and Peng, Jingjia and Bauer, Hermann and Kon, Patrick Tser Jern and Qiu, Yiming and Chen, Ang",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009458915&doi=10.1109%2FAIOps66738.2025.00011&partnerID=40&md5=22fec64a714f3a2c99b17a030e2ddc74,,,,,Cited by: 1,10.1109/AIOps66738.2025.00011,Cloud computing; Cloud platforms; Codes (symbols); Program debugging; Software reliability; Cloud...,,,Automated Bug Discovery in Cloud Infrastructure-as-Code Updates with LLM Agents_msW.pdf
rayyan-394626728,Human-In-The-Loop Software Development Agents: Challenges and Future Directions,2025,"Unit tests: FAIL_TO_PASS and PASS_TO_PASS tests to verify issue resolution and maintain existing functionality. Static analysis using SonarQube to evaluate code quality metrics, such as code smells, complexity, and duplication.",GPT-4 (as part of AppMap Navie + GPT-4o).,Not mentioned,Evaluating patches from software development agents on real GitHub issues to assess their impact on code quality.,"Evaluation method: Comparison of agent-generated patches with ""golden patches"" from repository developers. Performance metrics: precision, recall, F1-score [...] Statistical tests: Wilcoxon signed-rank test and Mann-Whitney U test [...] Key findings: No single agent dominated; agents maintained reliability and security but varied in complexity and duplication; better performance on simpler tasks.",Limitations in SWE-Bench evaluation: Patches generated by the agent may not be fully covered by current test cases. Potential data collection bias and measurement reliability issues. Limited generalizability to other programming languages ​​or project types. Metrics may not fully capture all aspects of code quality or agent performance. The assumption that gold patches are optimal may not always be accurate. Need for future research to improve the handling of complex scenarios and vulnerability-prone issues.,"The study provides the first comprehensive evaluation of software development agent patches on real GitHub issues, highlighting that no single agent dominates and suggesting that breaking down complex tasks into simpler ones can improve effectiveness. Most agents maintain code reliability and security but need improvements to minimize code complexity and duplication.",,,,,,,756 - 757,"Pasuksmit, Jirat and Takerngsaksiri, Wannita and Thongtanunam, Patanamon Pick and Tantithamthavorn, Kla (kla) and Zhang, Ruixiong and Wang, Shiyan and Jiang, Fan and Li, Jing and Cook, Evan and Chen, Kun and Wu, Ming",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009162123&doi=10.1109%2FMSR66628.2025.00112&partnerID=40&md5=698142c669aae605243d9a432638bec7,,,,,Cited by: 0,10.1109/MSR66628.2025.00112,Information systems; Intelligent agents; Multi agent systems; Software quality; Software testing;...,,,Human-In-The-Loop_Software_Development_Agents_Challenges_and_Future_Directions.pdf
rayyan-394626731,Special Session: ThreatLens: LLM-guided Threat Modeling and Test Plan Generation for Hardware Security Verification,2025,"Security Threat Modeling and Security Test Plan Generation. Specific focus on software-exploitable hardware vulnerabilities (e.g., privilege escalation, memory corruption) and supply chain attacks.",GPT-4o. Used OpenAI embeddings for semantic representation in RAG.,"ThreatLens (Multi-agent Framework). Composed of specialized agents: Threat Identification Agent, Security Policy Generator Agent, and Test Plan Generator Agent. Base technologies: LangChain, RAG (Retrieval-Augmented Generation), and FAISS (for similarity search).","RAG: Extracts security knowledge from academic papers and instruction manuals (ISA) to contextualize the model. Multi-Agent Flow: One agent identifies the threat, another extracts the security policy from the manual (e.g., RISC-V ISA), and a third generates the test plan. Refinement: The system interacts with the engineer only to validate initial assumptions, dynamically updating its ""question bank"".","Case Study on a Real SoC (System on a Chip). Result: The tool automatically generated 854 unique security policies, covering critical vulnerabilities such as PMP (Physical Memory Protection) violations. Validated through case studies where failure to verify these policies led to real hacks.","Closed Model Dependency: The use of GPT-4o implies high computational costs and dependence on an external API. Lack of Asset Extraction: The system does not yet automatically extract all ""security assets"" from the design, which could reduce redundant queries.","Update Efficiency: The article highlights that manual methods ""struggle to scale"" with the evolution of attack methodologies. The agentic approach allows updating the Test Plan merely by ingesting new security papers into the RAG base, without rewriting the agent's code. Autonomy: The ability to autonomously generate 854 policies demonstrates a massive efficiency gain over manual verification.",,,Proceedings of the IEEE VLSI Test Symposium,,,,,"Saha, Dipayan and Al-Shaikh, Hasan and Tarek, Shams and Farahmandi, Farimah",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008498031&doi=10.1109%2FVTS65138.2025.11022932&partnerID=40&md5=7aa515b66bd36cec92dc68c0e6f83d34,,,,,Cited by: 0,10.1109/VTS65138.2025.11022932,Computer hardware; Human computer interaction; Verification; Hardware security and trust; LLM; Pl...,,,Special Session ThreatLens LLM-guided Threat Modeling and Test Plan Generation for Hardware Security Verification_8OZ.pdf
rayyan-394626732,CKGFuzzer: LLM-Based Fuzz Driver Generation Enhanced By Code Knowledge Graph,2025,Automated fuzz testing. Automatic generation of fuzz drivers. Input seed generation. Coverage-guided mutation. Automatic crash analysis.,DeepSeek-V2-Coder (generation and repair). DeepSeek-V2-Chat (auxiliary agents). LLMs for summarization and reasoning.,CKGFuzzer – multi-agent system integrated with a Code Knowledge Graph + custom RAG + libFuzzer/OSS-Fuzz.,Autonomous generation of fuzz drivers from APIs; automatic repair of compilation errors; initial seed generation via LLM; coverage-based mutation of API combinations; crash classification and analysis via chain of reasoning.,"Advanced academic prototype, empirically evaluated on 8 open-source libraries. Quantitative metrics (branch coverage, compilation rate, real bugs found). Comparison with OSS-Fuzz and PromptFuzz.",Strong dependence on the quality of the Code Knowledge Graph. Evaluated only on C/C++ libraries. High computational cost. Risk of LLM hallucinations. Generalization to other languages not yet validated.,"
8.73% average coverage; 11 real bugs detected (9 new); 84.4% reduction in manual crash analysis effort.",,,Proceedings - International Conference on Software Engineering,,,,243 - 254,"Xu, Hanxiang and Ma, Wei and Zhou, Ting and Zhao, Yanjie and Chen, Kai and Hu, Qiang and Liu, Yang and Wang, Haoyu",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008497196&doi=10.1109%2FICSE-Companion66252.2025.00079&partnerID=40&md5=3f96e9b2e02faa23fe1edaa25aa1a65b,,,,,Cited by: 0,10.1109/ICSE-Companion66252.2025.00079,Accidents; Application programming interfaces (API); Codes (symbols); Computer software selection...,,,CKGFuzzer LLM-Based Fuzz Driver Generation Enhanced By Code Knowledge Graph_d2B.pdf
rayyan-394626734,AutoRestTest: A Tool for Automated REST API Testing Using LLMs and MARL,2025,"Automated REST API testing. Automatic generation of operation sequences. Generation of parameters, values, and headers. Exploration of dependencies between operations. Detection of 4xx/5xx errors. Lightweight fuzzing by request mutation.","OpenAI LLMs (e.g., GPT-4o, GPT-4o-mini, o1, o1-mini).","AutoRestTest – hybrid framework with Multi-Agent Reinforcement Learning (MARL) + Semantic Property Dependency Graph (SPDG) + specialized agents (operation, parameter, value, dependency, header).","The LLM is primarily used to generate parameter values and headers. MARL selects operations, dependencies, and combinations. Iterative execution with feedback based on HTTP responses (2xx, 4xx, 5xx). Continuous updating of Q-tables.","Functional academic prototype, empirically evaluated on 4 real REST APIs (FDIC, OMDb, OhSome, Spotify). Quantitative metrics (exercised operations, unique errors, status codes). Direct comparison with RESTler, EvoMaster, ARAT-RL, and MoRest.",Preliminary evaluation (fixed time of 1h). Exclusive focus on REST APIs. LLM restricted to value generation (does not generate complete test logic). Dependence on OAS 3.0 (OpenAPI Specification). Costs associated with LLM usage.,The only tool to obtain 2xx responses in the OhSome service. Detected an unprecedented 5xx error in Spotify.,,,Proceedings - International Conference on Software Engineering,,,,21 - 24,"Stennett, Tyler and Kim, Myeongsoo and Sinha, Saurabh and Orso, Alessandro",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008493507&doi=10.1109%2FICSE-Companion66252.2025.00015&partnerID=40&md5=6b424c86446186db5a71163dacbdd1aa,,,,,Cited by: 0,10.1109/ICSE-Companion66252.2025.00015,Application programming interfaces (API); Error detection; Fault detection; Intelligent agents; M...,,,2501.08600v2.pdf
rayyan-394626736,Towards Architectural Pen Test Case Generation and Attack Surface Analysis to Support Secure Design,2025,Penetration test case generation (architectural penetration test cases). Attack surface analysis. Security test prioritization. Support for security testing in the design phase.,"LLMs (unspecified), planned for test case generation and threat modeling support.","Proposed conceptual framework (based on architectural models such as PCM, threat modeling, CWE/CAPEC/CVE, with future LLM integration).","Planned use of LLMs to generate penetration test cases from architectural models, prioritize them based on severity, and support architects with security feedback during the design phase.",Research proposal / conceptual plan with no implementation or empirical evaluation at the moment.,No implementation. Absence of experimental evaluation. GenAI model not defined. Approach is still hypothetical. Restricted focus on the design phase.,LLMs are cited as a future enabling technology.,,,,,,,143 - 148,"Sarvejahani, Mahdi Jafari",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007880639&doi=10.1109%2FICSA-C65153.2025.00027&partnerID=40&md5=c705d9b1be50927d023e0e9155558783,,,,,Cited by: 0,10.1109/ICSA-C65153.2025.00027,Computer operating systems; Computer software selection and evaluation; Embedded software; Intell...,,,Towards_Architectural_Pen_Test_Case_Generation_and_Attack_Surface_Analysis_to_Support_Secure_Design.pdf
rayyan-394626737,Evaluation of the Choice of LLM in a Multi-Agent Solution for GUI-Test Generation,2025,"Automated Exploratory GUI Testing. Focus on web applications (e-commerce), aiming to perform complex end-to-end tasks (e.g., ""make an online purchase"") without pre-recorded scripts.","Llama 3.1, Gemma 2, Mistral-Nemo. Note: All used in quantized versions (4-bit) for local execution (Local LLMs), aiming at privacy and low cost.",PathFinder (Proprietary Multi-Agent Framework). Architecture composed of 4 specialized agents: 1. Perceptron: Collects and summarizes the HTML/DOM. 2. System 1: Makes navigation decisions (click/type). 3. EntryBot: Manages input data (fills forms with dummy user data). 4. Oracle: Validates whether the test passed or failed.,"The system does not use scripts (e.g., Selenium IDE). It receives a URL and a goal (Prompt: ""Buy an item""). The agents operate in an Observe-Reason-Act cycle: - Perceptron converts the page into clean JSON. - System 1 decides the action based on history. - Oracle verifies success every 5 steps. The study tested 27 different model permutations among the agents.","Academic Maturity (Empirical Experiment). Scenario: 4 real e-commerce sites. Metrics: Effectiveness (F1-Score) and Efficiency (Execution time). - Llama 3.1 was the most robust model individually. - Interestingly, the hypothesis that ""mixing specialized models is better"" was partially refuted; using a strong model (Llama 3.1) across all agents generated more consistent results due to better coordination.","Agent Coordination: Using different models in different agents caused communication discrepancies (one model did not understand the other's output well). Selector Hallucination: The model sometimes invents element IDs (mitigated in the paper using Fuzzy String Matching). Context Dependency: The Perceptron agent requires an 8k token window, which limits the use of very small or older models.","Relevance for Autonomous Updates: This is a perfect example of implicit Self-Healing. Since there is no hard-coded script (only the natural language goal), if the UI changes (e.g., a button moves), the agent adapts automatically, solving the GUI test maintenance problem. Privacy: Stands out for proving it is possible to run complex testing agents locally (without sending data to OpenAI), a key requirement for many companies.",,,,,,,487 - 497,"Tomic, Stevan and Alégroth, Emil and Isaac, Maycel",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007519090&doi=10.1109%2FICST62969.2025.10989038&partnerID=40&md5=a9c1278607d06e5157ef49503bf355f4,,,,,Cited by: 0; All Open Access; Green Accepted Open Access; Green Open Access,10.1109/ICST62969.2025.10989038,Ability testing; Autonomous agents; C (programming language); Intelligent agents; Model checking;...,,,Evaluation of the Choice of LLM in a Multi-Agent Solution for GUI-Test Generation_QNd.pdf
rayyan-394626738,"Evaluating Software Development Agents: Patch Patterns, Code Quality, and Issue Complexity in Real-World GitHub Scenarios",2025,Functional correctness testing using the SWE-bench dataset. GPT-based similarity scoring using GPT-4 and GPT-4o.,GPT-4 GPT-4o,HULA (Human-In-The-Loop LLM-based Software Development Agents Framework).,Software development and problem-solving using human-in-the-loop software development agents to resolve Jira work items.,"Evaluation methods: Functional correctness testing using the SWE-bench dataset, GPT-based similarity scoring. Performance metrics: 37.2% resolution rate on the verified SWE-bench dataset, high similarity score of 38.5% for work items. Validation: Strong agreement with human evaluations (correlation coefficient: 0.7), F1 score: 0.67 for unit test representation.",High computational costs of unit testing. Variability in LLM-based evaluations. Labor-intensive dataset creation for unit tests. Binary pass/fail outcomes in unit testing. Expensive and time-consuming test execution. Difficulty in evaluating small incremental improvements due to fluctuating LLM results.,----,,,,,,,657 - 668,"Chen, Zhi and Jiang, Lingxiao",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007302779&doi=10.1109%2FSANER64311.2025.00068&partnerID=40&md5=1e5568549f4eba6213f35f8ccaa4be56,,,,,Cited by: 0,10.1109/SANER64311.2025.00068,Application programs; Computer operating systems; Computer software maintenance; Computer softwar...,,,2410.12468v2_dGu.pdf
